1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
186,P80005275,Kentucky,KY,11/4/08,Brian,Moore,"Moore, Brian",,W,7,,0.00%,,,,
187,P80005119,Kentucky,KY,11/4/08,Jonathan,Allen,"Allen, Jonathan",,W,1,,0.00%,,,,
188,P60003530,Kentucky,KY,11/4/08,Keith Russell,Judd,"Judd, Keith Russell",,W,1,,0.00%,,,,
189,n/a,Kentucky,KY,11/4/08,Shelley Renée,Upchurch,"Upchurch, Shelley Renée",,W,1,,0.00%,,,,
190,n/a,Kentucky,KY,11/4/08,,,,Total State Votes: ,,"1,826,620","1,826,620",,,,,
191,P80002801,Louisiana,LA,11/4/08,John,McCain,"McCain, John",,R,"1,148,275",,58.56%,,,,
192,P80003338,Louisiana,LA,11/4/08,Barack,Obama,"Obama, Barack",,D,"782,989",,39.93%,,,,
193,P80000748,Louisiana,LA,11/4/08,"""Ron""",Paul,"Paul, ""Ron""",,LTX,"9,368",,0.48%,,,,
194,P80004930,Louisiana,LA,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"9,187",,0.47%,,,,
195,P20000527,Louisiana,LA,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"6,997",,0.36%,,,,
196,P80005499,Louisiana,LA,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"2,581",,0.13%,,,,
197,P60004454,Louisiana,LA,11/4/08,James,Harris,"Harris, James",,SWP,735,,0.04%,,,,
198,P80005572,Louisiana,LA,11/4/08,Gloria,La Riva,"La Riva, Gloria",,SLP,354,,0.02%,,,,
199,n/a,Louisiana,LA,11/4/08,Gene C.,Amondson,"Amondson, Gene C.",,P,275,,0.01%,,,,
200,n/a,Louisiana,LA,11/4/08,,,,Total State Votes: ,,"1,960,761","1,960,761",,,,,
201,P80003338,Maine,ME,11/4/08,Barack,Obama,"Obama, Barack",,D,"421,923",,57.71%,,,,
202,P80002801,Maine,ME,11/4/08,John,McCain,"McCain, John",,R,"295,273",,40.38%,,,,
203,P20000527,Maine,ME,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"10,636",,1.45%,,,,
204,P80004930,Maine,ME,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GI,"2,900",,0.40%,,,,
205,P80005580,Maine,ME,11/5/08,Bob,Barr,"Barr, Bob",,W,251,,0.03%,,,,
206,P80005499,Maine,ME,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,177,,0.02%,,,,
207,P80005119,Maine,ME,11/4/08,Jonathan,Allen,"Allen, Jonathan",,W,3,,0.00%,,,,
208,n/a,Maine,ME,11/4/08,,,,Total State Votes: ,,"731,163","731,163",,,,,
209,P80003338,Maryland,MD,11/4/08,Barack,Obama,"Obama, Barack",,D,"1,629,467",,61.92%,,,,
